"Carrier","Year","Total Departures","Total Passengers","Total Seats","Total Load Factor (%)","Total Passengers/Flight","Total Seats/Flight","Total Distance/Flight (sm)","Total Distance/Passenger (sm)","Total Payload (lbs)","Total Freight (lbs)","Total Mail (lbs)","Domestic Departures","Domestic Passengers","Domestic Seats","Domestic Load Factor (%)","Domestic Passengers/Flight","Domestic Seats/Flight","Domestic Distance/Flight (sm)","Domestic Distance/Passenger (sm)","Domestic Payload (lbs)","Domestic Freight (lbs)","Domestic Mail (lbs)","Outbound International Departures","Outbound International Passengers","Outbound International Seats","Outbound International Load Factor (%)","Outbound International Passengers/Flight","Outbound International Seats/Flight","Outbound International Distance/Flight (sm)","Outbound International Distance/Passenger (sm)","Outbound International Payload (lbs)","Outbound International Freight (lbs)","Outbound International Mail (lbs)","Inbound International Departures","Inbound International Passengers","Inbound International Seats","Inbound International Load Factor (%)","Inbound International Passengers/Flight","Inbound International Seats/Flight","Inbound International Distance/Flight (sm)","Inbound International Distance/Passenger (sm)","Inbound International Payload (lbs)","Inbound International Freight (lbs)","Inbound International Mail (lbs)"
"1263343 Alberta Inc. d/b/a Lynx Air","2023","1,923","207,109","363,447","57","107.70098803952","189","1,371.80395215809","1,373.22579897542","293,180,580","0","0",,,,,,,,,,,,"961","104,659","181,629","57.6","108.90634755463","189","1,371.24557752341","1,363.82709561528","146,514,060","0","0","962","102,450","181,818","56.3","106.49688149688","189","1,372.36174636175","1,382.82715470961","146,666,520","0","0"
"40-Mile Air","2023","1,068","1,066","4,256","25","0.99812734082","3.98501872659","118.30617977528","128.13602251407","1,131,378","109,761","18,856","1,068","1,066","4,256","25","0.99812734082","3.98501872659","118.30617977528","128.13602251407","1,131,378","109,761","18,856",,,,,,,,,,,,,,,,,,,,,,
"ABS JETS A.S","2023","44","118","634","18.6","2.68181818182","14.40909090909","2,636.90909090909","2,333.5593220339","266,412","25,960","0","13","50","181","27.6","3.84615384615","13.92307692308","694.69230769231","774.06","76,059","11,000","0","15","37","220","16.8","2.46666666667","14.66666666667","3,364.06666666667","3,496.75675675676","92,445","8,140","0","16","31","233","13.3","1.9375","14.5625","3,533.25","3,460.54838709677","97,908","6,820","0"
"ABSA-Aerolinhas Brasileiras","2023","957","0","0",,"0","0","2,631.9644723093",,"113,456,528","86,979,757","0","2","0","0",,"0","0","127",,"237,600","220,367","0","479","0","0",,"0","0","3,492.27766179541",,"56,793,000","36,778,874","0","476","0","0",,"0","0","1,776.75420168067",,"56,425,928","49,980,516","0"
"ABX Air Inc","2023","16,253","0","0",,"0","0","1,197.0937673045",,"1,868,748,500","1,006,208,360","0","14,306","0","0",,"0","0","1,086.29847616385",,"1,625,513,000","857,465,574","0","973","0","0",,"0","0","1,998.1901336074",,"121,555,000","70,891,592","0","974","0","0",,"0","0","2,024.16837782341",,"121,680,500","77,851,194","0"
"ACM AIR CHARTER GmbH","2023","93","174","1,302","13.4","1.87096774194","14","2,300.65591397849","2,803.71264367816","327,360","0","0","49","63","686","9.2","1.28571428571","14","322.81632653061","399.85714285714","172,480","0","0","22","56","308","18.2","2.54545454545","14","4,564.36363636364","4,409.03571428572","77,440","0","0","22","55","308","17.9","2.5","14","4,442.13636363636","3,922.70909090909","77,440","0","0"
"ADVANCED AIR, LLC","2023","7,884","43,338","84,554","51.3","5.49695585997","10.72475900558","274.50367833587","291.5131293553","16,911,000","0","0","7,870","43,272","84,401","51.3","5.49834815756","10.72439644219","273.26988564168","290.42267517101","16,880,400","0","0","6","22","56","39.3","3.66666666667","9.33333333333","857.5","856.68181818182","11,200","0","0","8","44","97","45.4","5.5","12.125","1,051","1,081.34090909091","19,400","0","0"
"AVCON JET MALTA LTD","2023","12","36","168","21.4","3","14","4,414.5","3,737.69444444444","31,200","0","0","2","14","28","50","7","14","1,625","1,625","5,200","0","0","6","18","84","21.4","3","14","5,218.5","5,188.55555555556","15,600","0","0","4","4","56","7.1","1","14","4,603.25","4,603.25","10,400","0","0"
"AXIS Aviation Switzerland AG","2023","10","46","140","32.9","4.6","14","3,424","3,266.73913043478","26,600","0","0",,,,,,,,,,,,"5","21","70","30","4.2","14","3,958.2","4,603.61904761905","13,201","0","0","5","25","70","35.7","5","14","2,889.8","2,143.76","13,399","0","0"
"Acropolis Aviation Ltd.","2023","49","288","931","30.9","5.87755102041","19","3,938.87755102041","4,005.27083333333","1,293,600","0","0",,,,,,,,,,,,"25","145","475","30.5","5.8","19","3,986.16","4,004.42068965517","660,000","0","0","24","143","456","31.4","5.95833333333","19","3,889.625","4,006.13286713287","633,600","0","0"
