Carrier,Year,Total Departures,Total Passengers,Total Seats,Total Load Factor (%),Total Passengers/Flight,Total Seats/Flight,Total Distance/Flight (sm),Total Distance/Passenger (sm),Total Payload (lbs),Total Freight (lbs),Total Mail (lbs),Domestic Departures,Domestic Passengers,Domestic Seats,Domestic Load Factor (%),Domestic Passengers/Flight,Domestic Seats/Flight,Domestic Distance/Flight (sm),Domestic Distance/Passenger (sm),Domestic Payload (lbs),Domestic Freight (lbs),Domestic Mail (lbs),Outbound International Departures,Outbound International Passengers,Outbound International Seats,Outbound International Load Factor (%),Outbound International Passengers/Flight,Outbound International Seats/Flight,Outbound International Distance/Flight (sm),Outbound International Distance/Passenger (sm),Outbound International Payload (lbs),Outbound International Freight (lbs),Outbound International Mail (lbs),Inbound International Departures,Inbound International Passengers,Inbound International Seats,Inbound International Load Factor (%),Inbound International Passengers/Flight,Inbound International Seats/Flight,Inbound International Distance/Flight (sm),Inbound International Distance/Passenger (sm),Inbound International Payload (lbs),Inbound International Freight (lbs),Inbound International Mail (lbs)
1263343 Alberta Inc. d/b/a Lynx Air,2023,"1,923.00","207,109.00","363,447.00",57,107.7,189,"1,371.80","1,373.23","293,180,580.00",0,0,0,0,0,0,0,0,0,0,0,0,0,961,"104,659.00","181,629.00",57.6,108.91,189,"1,371.25","1,363.83","146,514,060.00",0,0,962,"102,450.00","181,818.00",56.3,106.5,189,"1,372.36","1,382.83","146,666,520.00",0,0
40-Mile Air,2023,"1,068.00","1,066.00","4,256.00",25,1,3.99,118.31,128.14,"1,131,378.00","109,761.00","18,856.00","1,068.00","1,066.00","4,256.00",25,1,3.99,118.31,128.14,"1,131,378.00","109,761.00","18,856.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS JETS A.S,2023,44,118,634,18.6,2.68,14.41,"2,636.91","2,333.56","266,412.00","25,960.00",0,13,50,181,27.6,3.85,13.92,694.69,774.06,"76,059.00","11,000.00",0,15,37,220,16.8,2.47,14.67,"3,364.07","3,496.76","92,445.00","8,140.00",0,16,31,233,13.3,1.94,14.56,"3,533.25","3,460.55","97,908.00","6,820.00",0
ABSA-Aerolinhas Brasileiras,2023,957,0,0,0,0,0,"2,631.96",0,"113,456,528.00","86,979,757.00",0,2,0,0,0,0,0,127,0,"237,600.00","220,367.00",0,479,0,0,0,0,0,"3,492.28",0,"56,793,000.00","36,778,874.00",0,476,0,0,0,0,0,"1,776.75",0,"56,425,928.00","49,980,516.00",0
ABX Air Inc,2023,"16,253.00",0,0,0,0,0,"1,197.09",0,"1,868,748,500.00","1,006,208,360.00",0,"14,306.00",0,0,0,0,0,"1,086.30",0,"1,625,513,000.00","857,465,574.00",0,973,0,0,0,0,0,"1,998.19",0,"121,555,000.00","70,891,592.00",0,974,0,0,0,0,0,"2,024.17",0,"121,680,500.00","77,851,194.00",0
ACM AIR CHARTER GmbH,2023,93,174,"1,302.00",13.4,1.87,14,"2,300.66","2,803.71","327,360.00",0,0,49,63,686,9.2,1.29,14,322.82,399.86,"172,480.00",0,0,22,56,308,18.2,2.55,14,"4,564.36","4,409.04","77,440.00",0,0,22,55,308,17.9,2.5,14,"4,442.14","3,922.71","77,440.00",0,0
"ADVANCED AIR, LLC",2023,"7,884.00","43,338.00","84,554.00",51.3,5.5,10.72,274.5,291.51,"16,911,000.00",0,0,"7,870.00","43,272.00","84,401.00",51.3,5.5,10.72,273.27,290.42,"16,880,400.00",0,0,6,22,56,39.3,3.67,9.33,857.5,856.68,"11,200.00",0,0,8,44,97,45.4,5.5,12.13,"1,051.00","1,081.34","19,400.00",0,0
AVCON JET MALTA LTD,2023,12,36,168,21.4,3,14,"4,414.50","3,737.69","31,200.00",0,0,2,14,28,50,7,14,"1,625.00","1,625.00","5,200.00",0,0,6,18,84,21.4,3,14,"5,218.50","5,188.56","15,600.00",0,0,4,4,56,7.1,1,14,"4,603.25","4,603.25","10,400.00",0,0
AXIS Aviation Switzerland AG,2023,10,46,140,32.9,4.6,14,"3,424.00","3,266.74","26,600.00",0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,70,30,4.2,14,"3,958.20","4,603.62","13,201.00",0,0,5,25,70,35.7,5,14,"2,889.80","2,143.76","13,399.00",0,0
Acropolis Aviation Ltd.,2023,49,288,931,30.9,5.88,19,"3,938.88","4,005.27","1,293,600.00",0,0,0,0,0,0,0,0,0,0,0,0,0,25,145,475,30.5,5.8,19,"3,986.16","4,004.42","660,000.00",0,0,24,143,456,31.4,5.96,19,"3,889.63","4,006.13","633,600.00",0,0
