"ID";"Airports";"Periods";"CrossCountryFlights_1";"TotalFlights_3";"TotalArrivalsFlights_6";"TotalDeparturesFlights_9";"TotalPassengers_12";"TotalArrivalsPassengers_15";"TotalDeparturesPassengers_18";"EuropeTotal_22";"NorthAmerica_33"
"0";"A045844";"1997JJ00";"  467579";"  400118";"  200040";"  200078";"32074513";"16013919";"16060594";"21239558";" 4628855"
"1";"A045844";"1998JJ00";"  485852";"  425608";"  212751";"  212857";"35129029";"17484447";"17644582";"23548703";" 4915352"
"2";"A045844";"1999MM01";"   36810";"   33145";"   16565";"   16580";" 2439980";" 1226117";" 1213863";" 1559839";"  334326"
"3";"A045844";"1999MM02";"   34356";"   30912";"   15444";"   15468";" 2405830";" 1194375";" 1211455";" 1604074";"  301060"
"4";"A045844";"1999MM03";"   41290";"   35591";"   17802";"   17789";" 2905023";" 1457675";" 1447348";" 1911957";"  418994"
"5";"A045844";"1999KW01";"  112456";"   99648";"   49811";"   49837";" 7750833";" 3878167";" 3872666";" 5075870";" 1054380"
"6";"A045844";"1999MM04";"   41338";"   35832";"   17910";"   17922";" 2983754";" 1468181";" 1515573";" 2003716";"  427737"
"7";"A045844";"1999MM05";"   44679";"   38376";"   19200";"   19176";" 3399339";" 1701169";" 1698170";" 2354180";"  487429"
"8";"A045844";"1999MM06";"   44664";"   37971";"   18991";"   18980";" 3357773";" 1657203";" 1700570";" 2297541";"  512995"
"9";"A045844";"1999KW02";"  130681";"  112179";"   56101";"   56078";" 9740866";" 4826553";" 4914313";" 6655437";" 1428161"
"10";"A045844";"1999MM07";"   46107";"   39824";"   19904";"   19920";" 3753435";" 1756699";" 1996736";" 2548119";"  538704"
"11";"A045844";"1999MM08";"   45084";"   39908";"   19961";"   19947";" 3850371";" 2014765";" 1835606";" 2584440";"  554157"
"12";"A045844";"1999MM09";"   44734";"   38969";"   19478";"   19491";" 3610066";" 1812291";" 1797775";" 2468932";"  512282"
"13";"A045844";"1999KW03";"  135925";"  118701";"   59343";"   59358";"11213872";" 5583755";" 5630117";" 7601491";" 1605143"
"14";"A045844";"1999MM10";"   44734";"   39553";"   19779";"   19774";" 3577374";" 1806100";" 1771274";" 2417121";"  501679"
"15";"A045844";"1999MM11";"   41721";"   37387";"   18704";"   18683";" 2889913";" 1459437";" 1430476";" 1902396";"  394949"
"16";"A045844";"1999MM12";"   38258";"   35119";"   17592";"   17527";" 2531172";" 1264854";" 1266318";" 1649564";"  351598"
"17";"A045844";"1999KW04";"  124713";"  112059";"   56075";"   55984";" 8998459";" 4530391";" 4468068";" 5969081";" 1248226"
"18";"A045844";"1999JJ00";"  503775";"  442587";"  221330";"  221257";"37704030";"18818866";"18885164";"25301879";" 5335910"
"19";"A045844";"2000MM01";"   40054";"   36446";"   18182";"   18264";" 2563382";" 1278929";" 1284453";" 1653050";"  349329"
"20";"A045844";"2000MM02";"   40602";"   36041";"   18024";"   18017";" 2641094";" 1289485";" 1351609";" 1753422";"  328231"
"21";"A045844";"2000MM03";"   43728";"   38790";"   19396";"   19394";" 3162563";" 1603733";" 1558830";" 2110583";"  432298"
"22";"A045844";"2000KW01";"  124384";"  111277";"   55602";"   55675";" 8367039";" 4172147";" 4194892";" 5517055";" 1109858"
"23";"A045844";"2000MM04";"   43812";"   38281";"   19143";"   19138";" 3326762";" 1628248";" 1698514";" 2241068";"  462896"
"24";"A045844";"2000MM05";"   47975";"   41972";"   20995";"   20977";" 3706883";" 1845433";" 1861450";" 2602356";"  516326"
"25";"A045844";"2000MM06";"   46890";"   40483";"   20248";"   20235";" 3661177";" 1829019";" 1832158";" 2540998";"  545320"
"26";"A045844";"2000KW02";"  138677";"  120736";"   60386";"   60350";"10694822";" 5302700";" 5392122";" 7384422";" 1524542"
"27";"A045844";"2000MM07";"   47051";"   42092";"   21045";"   21047";" 4121196";" 1929467";" 2191729";" 2837159";"  575286"
"28";"A045844";"2000MM08";"   47748";"   42255";"   21124";"   21131";" 4096727";" 2150204";" 1946523";" 2807034";"  562749"
"29";"A045844";"2000MM09";"   45797";"   40476";"   20245";"   20231";" 3897872";" 1943139";" 1954733";" 2709597";"  527210"
"30";"A045844";"2000KW03";"  140596";"  124823";"   62414";"   62409";"12115795";" 6022810";" 6092985";" 8353790";" 1665245"
"31";"A045844";"2000MM10";"   45629";"   41254";"   20624";"   20630";" 3803796";" 1938661";" 1865135";" 2627702";"  495824"
"32";"A045844";"2000MM11";"   41583";"   37280";"   18640";"   18640";" 3004146";" 1511732";" 1492414";" 1990482";"  398413"
"33";"A045844";"2000MM12";"   38626";"   35192";"   17601";"   17591";" 2783392";" 1360805";" 1422587";" 1801015";"  373751"
"34";"A045844";"2000KW04";"  125838";"  113726";"   56865";"   56861";" 9591334";" 4811198";" 4780136";" 6419199";" 1267988"
"35";"A045844";"2000JJ00";"  529495";"  470562";"  235267";"  235295";"40768990";"20308855";"20460135";"27674466";" 5567633"
"36";"A045844";"2001MM01";"   40679";"   37077";"   18535";"   18542";" 2780249";" 1410283";" 1369966";" 1782728";"  360595"
"37";"A045844";"2001MM02";"   38034";"   34265";"   17132";"   17133";" 2667331";" 1304053";" 1363278";" 1774056";"  315078"
"38";"A045844";"2001MM03";"   43282";"   38876";"   19427";"   19449";" 3255834";" 1651160";" 1604674";" 2170145";"  424649"
"39";"A045844";"2001KW01";"  121995";"  110218";"   55094";"   55124";" 8703414";" 4365496";" 4337918";" 5726929";" 1100322"
"40";"A045844";"2001MM04";"   42412";"   37447";"   18730";"   18717";" 3457934";" 1698837";" 1759097";" 2346581";"  472190"
"41";"A045844";"2001MM05";"   47094";"   41159";"   20572";"   20587";" 3782078";" 1880738";" 1901340";" 2684492";"  498546"
"42";"A045844";"2001MM06";"   45878";"   40153";"   20065";"   20088";" 3841225";" 1912937";" 1928288";" 2672823";"  532896"
"43";"A045844";"2001KW02";"  135384";"  118759";"   59367";"   59392";"11081237";" 5492512";" 5588725";" 7703896";" 1503632"
"44";"A045844";"2001MM07";"   47572";"   42528";"   21266";"   21262";" 4278757";" 2011002";" 2267755";" 2977031";"  532160"
"45";"A045844";"2001MM08";"   47484";"   42681";"   21336";"   21345";" 4246834";" 2235051";" 2011783";" 2922400";"  535342"
"46";"A045844";"2001MM09";"   44851";"   40643";"   20333";"   20310";" 3719690";" 1857773";" 1861917";" 2658705";"  402137"
"47";"A045844";"2001KW03";"  139907";"  125852";"   62935";"   62917";"12245281";" 6103826";" 6141455";" 8558136";" 1469639"
"48";"A045844";"2001MM10";"   45296";"   40724";"   20370";"   20354";" 3376995";" 1724265";" 1652730";" 2440605";"  334381"
"49";"A045844";"2001MM11";"   38072";"   34054";"   17027";"   17027";" 2730083";" 1370081";" 1360002";" 1903957";"  291684"
"50";"A045844";"2001MM12";"   35575";"   32587";"   16297";"   16290";" 2652554";" 1292913";" 1359641";" 1764491";"  314131"
"51";"A045844";"2001KW04";"  118943";"  107365";"   53694";"   53671";" 8759632";" 4387259";" 4372373";" 6109053";"  940196"
"52";"A045844";"2001JJ00";"  516229";"  462194";"  231090";"  231104";"40789564";"20349093";"20440471";"28098014";" 5013789"
"53";"A045844";"2002MM01";"   37212";"   33955";"   16966";"   16989";" 2636649";" 1336776";" 1299873";" 1721082";"  309836"
"54";"A045844";"2002MM02";"   34855";"   31396";"   15704";"   15692";" 2667372";" 1312182";" 1355190";" 1823929";"  279642"
"55";"A045844";"2002MM03";"   41176";"   35638";"   17810";"   17828";" 3249398";" 1634148";" 1615250";" 2210536";"  381771"
"56";"A045844";"2002KW01";"  113243";"  100989";"   50480";"   50509";" 8553419";" 4283106";" 4270313";" 5755547";"  971249"
"57";"A045844";"2002MM04";"   41507";"   36474";"   18237";"   18237";" 3411882";" 1650092";" 1761790";" 2419921";"  380914"
"58";"A045844";"2002MM05";"   44640";"   39387";"   19690";"   19697";" 3863240";" 1953393";" 1909847";" 2823330";"  440146"
"59";"A045844";"2002MM06";"   43941";"   38233";"   19110";"   19123";" 3814245";" 1878689";" 1935556";" 2706002";"  482453"
"60";"A045844";"2002KW02";"  130088";"  114094";"   57037";"   57057";"11089367";" 5482174";" 5607193";" 7949253";" 1303513"
"61";"A045844";"2002MM07";"   45846";"   40619";"   20303";"   20316";" 4289281";" 2034750";" 2254531";" 3052847";"  496550"
"62";"A045844";"2002MM08";"   44950";"   40340";"   20168";"   20172";" 4276395";" 2238757";" 2037638";" 3003393";"  506747"
"63";"A045844";"2002MM09";"   44673";"   38856";"   19428";"   19428";" 4020765";" 1996530";" 2024235";" 2872676";"  465079"
"64";"A045844";"2002KW03";"  135469";"  119815";"   59899";"   59916";"12586441";" 6270037";" 6316404";" 8928916";" 1468376"
"65";"A045844";"2002MM10";"   43582";"   39325";"   19659";"   19666";" 3862884";" 1964088";" 1898796";" 2741612";"  448017"
"66";"A045844";"2002MM11";"   38583";"   34675";"   17346";"   17329";" 2977998";" 1496868";" 1481130";" 2017447";"  361689"
"67";"A045844";"2002MM12";"   35354";"   32695";"   16349";"   16346";" 2912646";" 1418289";" 1494357";" 1905645";"  381431"
"68";"A045844";"2002KW04";"  117519";"  106695";"   53354";"   53341";" 9753528";" 4879245";" 4874283";" 6664704";" 1191137"
"69";"A045844";"2002JJ00";"  496319";"  441593";"  220770";"  220823";"41982755";"20914562";"21068193";"29298420";" 4934275"
"70";"A045844";"2003MM01";"   35932";"   32975";"   16463";"   16512";" 2813139";" 1427419";" 1385720";" 1820298";"  352839"
"71";"A045844";"2003MM02";"   34626";"   31210";"   15601";"   15609";" 2741087";" 1346064";" 1395023";" 1866580";"  297485"
"72";"A045844";"2003MM03";"   40119";"   35283";"   17641";"   17642";" 3099952";" 1576809";" 1523143";" 2152637";"  363311"
"73";"A045844";"2003KW01";"  110677";"   99468";"   49705";"   49763";" 8654178";" 4350292";" 4303886";" 5839515";" 1013635"
"74";"A045844";"2003MM04";"   38602";"   34247";"   17128";"   17119";" 3108279";" 1496581";" 1611698";" 2251494";"  343541"
"75";"A045844";"2003MM05";"   41720";"   37126";"   18547";"   18579";" 3553181";" 1782708";" 1770473";" 2650000";"  399423"
"76";"A045844";"2003MM06";"   41570";"   36582";"   18299";"   18283";" 3695057";" 1822519";" 1872538";" 2699580";"  441600"
"77";"A045844";"2003KW02";"  121892";"  107955";"   53974";"   53981";"10356517";" 5101808";" 5254709";" 7601074";" 1184564"
"78";"A045844";"2003MM07";"   43508";"   39230";"   19616";"   19614";" 4244484";" 2010027";" 2234457";" 3052051";"  472609"
"79";"A045844";"2003MM08";"   42849";"   38672";"   19337";"   19335";" 4194993";" 2221070";" 1973923";" 2956211";"  474121"
"80";"A045844";"2003MM09";"   42559";"   37886";"   18935";"   18951";" 3898022";" 1931401";" 1966621";" 2791710";"  439314"
"81";"A045844";"2003KW03";"  128916";"  115788";"   57888";"   57900";"12337499";" 6162498";" 6175001";" 8799972";" 1386044"
"82";"A045844";"2003MM10";"   42263";"   38118";"   19060";"   19058";" 3915075";" 1989708";" 1925367";" 2785110";"  424828"
