"ID";"Airports";"Periods";"CrossCountryFlights_1";"LocalFlights_2";"TotalFlights_3";"TotalArrivalsFlights_6";"TotalDeparturesFlights_9";"TotalPassengers_12";"TotalArrivalsPassengers_15";"EuropeTotal_22";"EUCountries_23";"TotalIntercontinentalPassengers_25"
"0";"A045844";"1997JJ00";"467579";"206214";"400118";"200040";"200078";"32074513";"16013919";"21239558";"17658777";"10751804"
"1";"A045844";"1998JJ00";"485852";"201265";"425608";"212751";"212857";"35129029";"17484447";"23548703";"19613702";"11466164"
"18";"A045844";"1999JJ00";"503775";"198664";"442587";"221330";"221257";"37704030";"18818866";"25301879";"21244897";"12311983"
"35";"A045844";"2000JJ00";"529495";"179652";"470562";"235267";"235295";"40768990";"20308855";"27674466";"22787503";"13094507"
"52";"A045844";"2001JJ00";"516229";"146083";"462194";"231090";"231104";"40789564";"20349093";"28098014";"22895498";"12691328"
"69";"A045844";"2002JJ00";"496319";"138953";"441593";"220770";"220823";"41982755";"20914562";"29298420";"23597454";"12684258"
"86";"A045844";"2003JJ00";"475608";"109973";"426836";"213421";"213415";"41264122";"20574779";"29024649";"23191435";"12239473"
"103";"A045844";"2004JJ00";"489976";"83974";"440930";"220442";"220488";"44575911";"22208099";"30980281";"24133924";"13595449"
"120";"A045844";"2005JJ00";"490176";"75756";"442453";"221180";"221273";"46488308";"23122944";"32148154";"26312192";"14340153"
"137";"A045844";"2006JJ00";"514152";"80956";"467332";"233523";"233809";"48596556";"24199390";"33892837";"28473522";"14703580"
"154";"A045844";"2007JJ00";"529001";"90200";"479506";"239468";"240038";"50517673";"25226630";"35288129";"30084829";"15229528"
"171";"A045844";"2008JJ00";"521948";"103851";"473563";"236691";"236872";"50425690";"25207188";"34753560";"29380306";"15672121"
"188";"A045844";"2009JJ00";"474512";"110420";"429129";"214542";"214587";"46455743";"23280039";"31921321";"26877824";"14534422"
"205";"A045844";"2010JJ00";"473798";"99976";"427392";"213713";"213679";"48591528";"24370089";"33221432";"27794288";"15370049"
"222";"A045844";"2011JJ00";"507690";"84753";"462330";"231149";"231181";"53868142";"26997955";"38002427";"31840159";"15865654"
"239";"A045844";"2012JJ00";"508447";"71944";"468581";"234297";"234284";"55653320";"27833958";"39286336";"32600496";"16366967"
"256";"A045844";"2013JJ00";"513209";"61596";"476792";"238361";"238431";"58047513";"29008691";"41096590";"34070621";"16950912"
"273";"A045844";"2014JJ00";"526762";"58291";"491024";"245462";"245562";"60932617";"30445639";"43787181";"36638542";"17145429"
"290";"A045844";"2015JJ00";"540381";"54029";"504967";"252455";"252512";"64634615";"32276225";"46933786";"39217394";"17700823"
"307";"A045844";"2016JJ00";"571193";"54705";"535242";"267597";"267645";"70279566";"35076413";"51747853";"44162439";"18531689"
"324";"A045844";"2017JJ00";"590138";"55964";"555785";"277844";"277941";"76203629";"38066654";"56256652";"48336297";"19946922"
"341";"A045844";"2018JJ00";"602096";"54758";"564546";"282242";"282304";"79606318";"39661596";"58285665";"50059874";"21320598"
"358";"A045844";"2019JJ00";"603633";"51939";"566031";"282993";"283038";"81167301";"40447281";"59542872";"51052275";"21624398"
"375";"A045844";"2020JJ00";"288182";"61655";"258226";"129122";"129104";"23585744";"11854943";"17714479";"15210230";"5871255"
"392";"A045844";"2021JJ00";"340288";"84000";"303062";"151503";"151559";"29069535";"14454094";"22436589";"17478719";"6632937"
"409";"A045844";"2022JJ00";"511363";"89064";"462600";"231223";"231377";"61268058";"30752932";"45612625";"32742252";"15655416"
"426";"A045844";"2023JJ00";"548773";"83331";"505989";"252941";"253048";"71320837";"35686142";"52363338";"37060749";"18957463"
"443";"A045844";"2024JJ00";"578545";"86811";"537032";"268447";"268585";"76249941";"38185368";"56570417";"40066144";"19679488"
"453";"A045844";"2025MM08";"54262";"7962";"50034";"24990";"25044";"7641006";"4044858";"5709565";"4153097";"1931441"
"454";"A043590";"1997JJ00";"361910";"10748";"349476";"174726";"174750";"31021002";"15496157";"20282682";"16776756";"10738320"
"455";"A043590";"1998JJ00";"388218";"8944";"376810";"188402";"188408";"33946104";"16899139";"22496275";"18667695";"11449829"
"472";"A043590";"1999JJ00";"405764";"8450";"393605";"196841";"196764";"36425113";"18186152";"24134366";"20168638";"12290747"
"489";"A043590";"2000JJ00";"428689";"3770";"414927";"207439";"207488";"39270610";"19580140";"26198081";"21464574";"13072529"
"506";"A043590";"2001JJ00";"428482";"3574";"416456";"208224";"208232";"39309441";"19629040";"26642961";"21609078";"12666480"
"523";"A043590";"2002JJ00";"413544";"3567";"401385";"200693";"200692";"40587562";"20241604";"27921311";"22418731";"12666251"
"540";"A043590";"2003JJ00";"404376";"3904";"392996";"196512";"196484";"39808649";"19849930";"27577850";"22007779";"12230799"
"557";"A043590";"2004JJ00";"414898";"3714";"402738";"201370";"201368";"42425392";"21139285";"28834061";"22535466";"13591331"
"574";"A043590";"2005JJ00";"417264";"3469";"404594";"202295";"202299";"44077539";"21927211";"29746468";"24432783";"14331071"
"591";"A043590";"2006JJ00";"436266";"3889";"423122";"211574";"211548";"45988966";"22907010";"31287261";"26209083";"14701705"
"608";"A043590";"2007JJ00";"449871";"4483";"435972";"217987";"217985";"47744748";"23849815";"32516890";"27481742";"15227858"
"625";"A043590";"2008JJ00";"441865";"4824";"428332";"214137";"214195";"47391711";"23703666";"31725300";"26587210";"15666411"
"642";"A043590";"2009JJ00";"402126";"4849";"391265";"195624";"195641";"43523110";"21826162";"28990471";"24176603";"14532639"
"659";"A043590";"2010JJ00";"397414";"4961";"386316";"193141";"193175";"45136882";"22660597";"29772261";"24636027";"15364621"
"676";"A043590";"2011JJ00";"432121";"4962";"420245";"210116";"210129";"49680625";"24917978";"33825310";"27997191";"15855315"
"693";"A043590";"2012JJ00";"434124";"3766";"423405";"211711";"211694";"50975592";"25504382";"34647266";"28330951";"16328326"
"710";"A043590";"2013JJ00";"436203";"3848";"425565";"212793";"212772";"52527699";"26257395";"35671436";"29100218";"16856263"
"727";"A043590";"2014JJ00";"449007";"3673";"438295";"219154";"219141";"54940534";"27454136";"37903464";"31248970";"17037070"
