Year,Total Departures,Total Passengers,Total Seats,Total Load Factor (%),Total Passengers/Flight,Total Seats/Flight,Total Distance/Flight (sm),Total Distance/Passenger (sm),Total Payload (lbs),Total Freight (lbs),Total Mail (lbs),Domestic Departures,Domestic Passengers,Domestic Seats,Domestic Load Factor (%),Domestic Passengers/Flight,Domestic Seats/Flight,Domestic Distance/Flight (sm),Domestic Distance/Passenger (sm),Domestic Payload (lbs),Domestic Freight (lbs),Domestic Mail (lbs),Outbound International Departures,Outbound International Passengers,Outbound International Seats,Outbound International Load Factor (%),Outbound International Passengers/Flight,Outbound International Seats/Flight,Outbound International Distance/Flight (sm),Outbound International Distance/Passenger (sm),Outbound International Payload (lbs),Outbound International Freight (lbs),Outbound International Mail (lbs),Inbound International Departures,Inbound International Passengers,Inbound International Seats,Inbound International Load Factor (%),Inbound International Passengers/Flight,Inbound International Seats/Flight,Inbound International Distance/Flight (sm),Inbound International Distance/Passenger (sm),Inbound International Payload (lbs),Inbound International Freight (lbs),Inbound International Mail (lbs)
2014,"10,312,315","868,276,743","1,069,589,516",81.2,84.19804312,103.7196319,919.98,"1,409.94","351,533,942,768","43,988,218,345","1,205,245,319","8,731,218","676,358,658","829,145,827",81.6,77.46441081,94.9633633,667.9925664,883.6184426,"256,581,198,821","24,066,383,578","948,015,406","791,227","95,693,442","120,341,795",79.5,120.9430947,152.0951573,"2,316.86","3,255.40","47,455,879,518","8,577,403,692","172,177,564","789,870","96,224,643","120,101,894",80.1,121.8233925,152.0527353,"2,306.14","3,274.18","47,496,864,429","11,344,431,075","85,052,349"
2015,"10,312,239","911,848,492","1,114,326,663",81.8,88.42390988,108.0586537,950.92,"1,428.68","367,878,391,819","44,565,177,047","1,351,920,769","8,689,086","707,749,198","858,763,401",82.4,81.45266349,98.83242046,685.5173273,893.8288135,"266,544,363,143","24,621,964,272","1,118,476,992","811,866","101,668,755","127,797,427",79.6,125.2284921,157.4119707,"2,375.23","3,274.96","50,502,540,756","8,269,366,086","145,283,756","811,287","102,430,539","127,765,835",80.2,126.2568475,157.4853720,"2,368.09","3,291.73","50,831,487,920","11,673,846,689","88,160,021"
2016,"10,508,893","946,331,968","1,166,508,241",81.1,90.05058554,111.0020095,970.47,"1,455.21","386,714,027,176","45,594,203,890","1,251,492,202","8,829,635","730,902,303","896,522,281",81.5,82.77831451,101.5355993,696.6876527,905.7022501,"279,618,455,277","25,455,595,958","1,032,280,317","840,120","107,293,100","134,992,241",79.5,127.7116364,160.6820942,"2,411.68","3,311.07","53,285,871,622","8,164,684,169","127,211,010","839,138","108,136,565","134,993,719",80.1,128.8662473,160.8718935,"2,408.42","3,327.97","53,809,700,277","11,973,923,763","92,000,875"
2017,"10,575,007","979,557,158","1,205,822,495",81.2,92.62945717,114.0256924,992.96,"1,469.82","402,988,710,105","49,381,388,353","1,425,845,215","8,848,628","752,580,029","922,610,756",81.6,85.05047664,104.2659671,708.8858469,911.4646106,"292,118,464,430","27,026,425,593","1,203,413,997","863,194","113,157,772","141,613,627",79.9,131.0919353,164.0577055,"2,447.08","3,312.84","54,940,299,621","8,895,074,154","127,967,286","863,185","113,819,357","141,598,112",80.4,131.8597485,164.0414419,"2,450.93","3,329.41","55,929,946,054","13,459,888,606","94,463,932"
2018,"10,877,895","1,027,166,772","1,258,418,943",81.6,94.42697985,115.6858880,"1,006.74","1,481.23","413,191,860,538","51,598,865,581","1,406,240,739","9,093,670","787,923,485","963,489,168",81.8,86.64526918,105.951631,719.8384944,917.4161490,"298,056,089,954","28,071,567,257","1,190,330,614","892,115","119,447,881","147,457,870",81,133.8929185,165.2902036,"2,468.70","3,333.54","57,080,533,763","9,429,873,120","122,898,464","892,110","119,795,406","147,471,905",81.2,134.2832229,165.3068624,"2,469.34","3,342.65","58,055,236,821","14,097,425,204","93,011,661"
2019,"11,133,317","1,065,359,407","1,294,958,937",82.3,95.69110509,116.3138476,"1,005.08","1,478.70","426,516,853,995","50,696,474,430","1,385,113,418","9,325,914","821,070,954","997,539,484",82.3,88.04187493,106.9642594,723.6014503,919.5308024,"310,753,938,457","28,470,151,938","1,178,175,611","903,122","121,892,763","148,669,030",82,134.9682136,164.6167738,"2,458.63","3,352.49","57,381,152,091","8,735,892,054","112,581,432","904,281","122,395,690","148,750,423",82.3,135.3513897,164.4957961,"2,456.30","3,363.68","58,381,763,447","13,490,430,438","94,356,375"
2020,"6,709,666","405,736,929","710,439,185",57.1,60.47051060,105.8829434,944.27,"1,225.56","285,874,925,231","52,257,808,871","1,333,652,730","5,936,974","341,647,940","603,002,065",56.7,57.54580364,101.5672403,717.2360746,896.3656139,"219,570,615,230","31,027,575,930","1,193,938,689","384,813","31,989,931","53,569,885",59.7,83.13110784,139.2101748,"2,691.50","2,965.85","32,524,873,512","8,050,460,550","85,535,367","387,879","32,099,058","53,867,235",59.6,82.75533865,138.8763893,"2,685.80","2,994.97","33,779,436,489","13,179,772,391","54,178,674"
2021,"8,621,244","708,730,044","963,657,715",73.5,82.20739884,111.7771072,969.89,"1,147.76","357,793,155,073","58,308,913,462","1,482,232,881","7,564,057","613,365,424","809,576,757",75.8,81.08947672,107.0294363,750.5370552,934.8650371,"276,188,741,063","32,780,508,125","1,360,215,462","527,966","46,993,429","77,019,909",61,89.00843804,145.8804336,"2,544.58","2,507.14","40,223,645,195","9,777,830,134","77,867,852","529,221","48,371,191","77,061,049",62.8,91.40073996,145.6122282,"2,534.16","2,526.72","41,380,768,815","15,750,575,203","44,149,567"
2022,"9,719,130","949,607,595","1,176,031,348",80.7,97.70499983,121.0017098,"1,019.35","1,349.50","410,003,555,169","55,328,264,642","1,448,362,602","8,223,577","760,135,404","932,711,945",81.5,92.43367017,113.4192511,751.3561381,932.7507708,"304,478,183,942","30,578,467,098","1,338,496,687","747,023","94,476,432","121,604,224",77.7,126.4705799,162.7851137,"2,493.26","3,013.81","52,283,769,638","9,491,925,752","62,536,228","748,530","94,995,759","121,715,179",78,126.9097551,162.6056123,"2,492.68","3,029.00","53,241,601,589","15,257,871,792","47,329,687"
2023,"10,257,340","1,066,903,881","1,316,476,589",81.0,104.0136996,128.3448330,"1,049.86","1,431.24","436,944,956,018","51,783,335,038","951,047,488","8,567,795","829,171,190","1,026,322,153",80.8,96.7776645,119.7883648,760.5784165,932.9182682,"319,249,372,886","28,094,419,773","838,155,070","844,013","118,288,595","145,056,242",81.5,140.150205,171.8649381,"2,518.75","3,158.41","58,252,025,650","8,607,312,466","64,513,741","845,532","119,444,096","145,098,194",82.3,141.2650213,171.6057985,"2,514.87","3,180.08","59,443,557,482","15,081,602,799","48,378,677"
2024,"10,671,886","1,118,636,327","1,376,613,713",81.3,104.8208655,128.9944170,"1,063.17","1,458.77","449,540,267,689","53,133,663,570","1,267,772,823","8,853,473","859,460,108","1,061,094,278",81.0,97.07604101,119.8506256,758.4320532,932.6213166,"324,679,315,594","28,006,669,316","1,162,753,097","908,343","129,192,366","157,745,887",81.9,142.2286141,173.6633485,"2,554.29","3,193.99","61,690,821,625","8,839,824,878","57,850,860","910,070","129,983,853","157,773,548",82.4,142.8284121,173.3641896,"2,539.51","3,213.00","63,170,130,470","16,287,169,376","47,168,866"
2025,"9,059,313","927,773,311","1,163,368,917",79.7,102.4110008,128.4169028,"1,061.30","1,475.67","373,016,319,230","41,605,596,955","1,955,811,812","7,548,826","711,999,643","897,307,711",79.3,94.31925481,118.8671869,756.5682125,938.0201726,"269,299,766,667","21,374,314,461","1,880,612,929","754,689","107,149,400","132,939,425",80.6,141.9782188,176.1512689,"2,594.41","3,241.13","51,285,560,850","7,153,427,390","41,168,919","755,798","108,624,268","133,121,781",81.6,143.7212959,176.1340742,"2,574.12","3,258.34","52,430,991,713","13,077,855,104","34,029,964"
